2026-04-22 13:58:43 ip=127.0.0.1 method=GET url=/
2026-04-22 13:58:43 ip=127.0.0.1 method=GET url=/
2026-04-22 14:01:56 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:01:56 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:03:55 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:03:55 ip=127.0.0.1 method=GET url=/static/
2026-04-22 14:03:55 ip=127.0.0.1 method=GET url=/static/index.html
2026-04-22 14:04:32 ip=127.0.0.1 method=GET url=/static/assets/
{"ip":"127.0.0.1:51734","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 12:39:52","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:51742","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 12:39:52","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:51746","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 12:39:52","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:39596","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 12:39:52","upstream":"127.0.0.1:18084","url":"/hello.txt"}
{"ip":"127.0.0.1:39612","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 12:39:52","upstream":"127.0.0.1:18084","url":"/hello.txt"}
{"ip":"127.0.0.1:50612","latency_ms":33,"method":"GET","status":502,"ts":"2026-05-07 12:39:53","upstream":"127.0.0.1:9001","url":"slow"}
{"ip":"127.0.0.1:46824","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 12:40:38","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:46826","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 12:40:38","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:46830","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 12:40:38","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:46844","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 12:40:38","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:46852","latency_ms":0,"method":"GET","status":429,"ts":"2026-05-07 12:40:39","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:46866","latency_ms":1,"method":"GET","status":429,"ts":"2026-05-07 12:40:39","upstream":"127.0.0.1:18083","url":"/hello.txt"}
{"ip":"127.0.0.1:48650","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 12:40:39","upstream":"127.0.0.1:18084","url":"/hello.txt"}
{"ip":"127.0.0.1:48662","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 12:40:39","upstream":"127.0.0.1:18084","url":"/hello.txt"}
{"ip":"127.0.0.1:43126","latency_ms":32,"method":"GET","status":502,"ts":"2026-05-07 12:40:40","upstream":"127.0.0.1:9001","url":"slow"}
{"ip":"127.0.0.1:40690","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 12:40:41","upstream":"127.0.0.1:18086","url":"/hello.txt"}
{"ip":"127.0.0.1:40694","latency_ms":0,"method":"GET","status":404,"ts":"2026-05-07 12:40:41","upstream":"127.0.0.1:18086","url":"/hello.txt"}
{"ip":"127.0.0.1:40698","latency_ms":1,"method":"GET","status":404,"ts":"2026-05-07 12:40:42","upstream":"127.0.0.1:18086","url":"/hello.txt"}
